Time (s),Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.9083715,-1.603465576,6.309529266,10.24514511,12.13854438
0.9184005,-2.035018158,6.483168182,10.185569,12.24412449
0.9284295,-2.344125366,6.42613678,9.197324066,11.46215196
0.9384595,-2.651885376,6.404731293,8.190068665,10.72987902
0.9484885,-2.818339233,6.316714325,7.501051483,10.20341557
0.9585175,-3.05978714,5.979765015,7.157815247,9.816017832
0.9685465,-3.561094666,5.631289673,7.820337524,10.27377718
0.9785755,-3.875890045,5.676795044,9.135203247,11.43243036
0.9886045,-3.97827713,5.501060486,9.669891357,11.81503933
0.9986345,-3.877536621,5.137017517,9.382339325,11.37772079
1.0086635,-3.666325836,5.054688721,8.783135376,10.77660848
1.0186925,-3.83322876,5.045857086,8.569080505,10.657554
1.0287215,-3.356170807,4.881798248,8.556955719,10.40756109
1.0387505,-3.191064148,4.834646301,8.274493103,10.10068965
1.0487805,-3.300336914,5.113666077,8.139024811,10.16294885
1.0588095,-3.172802124,5.281167755,7.990683289,10.09001613
1.0688385,-2.674188995,5.131029968,7.130422211,9.182683498
1.0788675,-2.552941132,5.134622498,6.201304321,8.446184458
1.0888965,-2.48872467,5.269941101,5.6269487,8.101146917
1.0989255,-2.412533112,5.511389008,5.235063629,7.975062132
1.1089555,-2.197131042,6.529871063,5.559289398,8.852813086
1.1189845,-1.596579895,8.241411896,5.979315948,10.30641337
1.1290135,-1.183289337,9.500892792,5.989345093,11.29333397
1.1390425,-0.881666565,9.963131561,5.90776474,11.61649735
1.1490715,-0.862506409,9.724827118,5.83516571,11.37388846
1.1591005,-1.120569763,9.129814453,5.289849701,10.61092354
1.1691305,-1.611698456,8.465346222,4.990621948,9.958210984
1.1791595,-2.019749908,7.903714142,5.911806335,10.0745988
1.1891885,-2.33080307,7.182214508,7.415579224,10.5833673
1.1992175,-2.801574097,6.549779663,8.249195709,10.89943397
1.2092465,-2.906056824,6.034401398,8.365054779,10.71603042
1.2192765,-2.552791443,5.540428619,8.342302094,10.33475194
1.2293055,-3.1054422,6.035449219,7.900271301,10.41559913
1.2393345,-3.761527863,6.703809357,6.526278534,10.08377227
1.2493635,-3.453767853,6.634653168,5.425018616,9.24001959
1.2593925,-3.556604004,6.649771729,4.819078674,8.949436594
1.2694215,-3.396886139,6.919061737,4.881798248,9.12382622
1.2794515,-3.044818268,6.951244812,5.37068161,9.297039511
1.2894805,-2.710413666,6.987170105,5.608387299,9.360603421
1.2995095,-2.070494385,7.177723846,5.475763092,9.262324117
1.3095385,-1.656754761,7.498207397,5.464237061,9.424746
1.3195675,-1.421743469,7.535779266,5.64805481,9.524171711
1.3295965,-1.634750519,7.395221558,5.563480682,9.397554387
1.3396265,-2.506837006,7.148384857,5.063370667,9.111605805
1.3496555,-3.037184143,6.640491028,4.964576111,8.829927778
1.3596845,-2.923720093,6.551126862,5.267845459,8.900314495
1.3697135,-2.559078369,6.923103333,5.273383942,9.071208301
1.3797425,-2.108964386,7.65118927,5.352569275,9.572796136
1.3897725,-2.39756424,7.289391632,5.857020264,9.653405151
1.3998015,-2.273921356,7.17383194,6.335275726,9.837189719
1.4098305,-2.887345734,7.128476257,6.659351807,10.17344119
1.4198595,-3.296894073,7.564818878,6.564898224,10.54485106
1.4298885,-3.536246338,7.719597015,6.112089844,10.4620676
1.4399175,-3.301684113,7.077133026,6.240672455,9.996645564
1.4499475,-2.677482147,6.89181839,6.676865387,9.962258919
1.459976375,-2.224673767,7.117548981,7.259902954,10.4074429
1.470005375,-1.968406677,8.355923767,7.778873749,11.58477292
1.480034375,-1.759740601,7.60912674,7.849077759,11.07264731
1.490063375,-1.547781372,6.983577576,8.566685486,11.16038006
1.500092375,-1.386267242,7.702831879,9.425299988,12.25118915
1.510122375,-1.616787872,7.480544128,9.683063965,12.34237705
1.520151375,-0.053738251,9.379495239,8.52761673,12.67667408
1.530180375,0.491877136,8.101602631,6.893165588,10.64864499
1.540209375,0.911155243,8.465795288,5.17294281,9.962892705
1.550238375,1.052461395,9.048982544,4.258045349,10.05597883
1.560268375,0.100291443,7.590864716,5.187462616,9.194620922
1.570297375,-0.782572632,5.799839172,6.156846771,8.494546281
1.580326375,-3.354075165,4.889282684,4.022435303,7.164837133
1.590355375,-9.99022522,4.199517059,-7.121590576,12.96755936
1.600384375,-10.35845947,8.697513428,-35.10320251,37.61886826
1.610413375,-6.082750854,10.29813492,-26.33129379,28.92038163
1.620443375,-5.236710205,8.422684937,-1.601968689,10.04644509
1.630472375,-2.920426941,10.90676926,3.762276306,11.9013122
1.640501375,-2.105072479,11.29251709,7.621850281,13.78567641
1.650530375,-1.796863403,11.16483261,6.444698181,13.01600323
1.660559375,-1.468596039,11.34999756,1.7995578,11.58523315
1.670588375,-1.013692017,10.57745407,-1.164727936,10.6895602
1.680618375,-0.725092163,10.41100021,-1.497485962,10.54310904
1.690647375,-0.158819733,9.710157623,-0.402213593,9.719781919
1.700676375,-0.767753449,8.62117218,0.619711304,8.677447621
1.710705375,-2.02304306,7.937992859,1.580712891,8.342846462
1.720734375,-2.913840637,8.064330139,1.798360291,8.761163598
1.730763375,-2.316882019,9.458381195,1.0776091,9.797456736
1.740793375,-0.827778626,10.40920395,0.032033386,10.44211523
1.750822375,-0.656834106,9.318272552,-1.784738617,9.510358896
1.760851375,-1.82769928,7.423812103,-2.115251312,7.932701867
1.770880375,-0.041314087,10.07584717,2.144440613,10.3016032
1.780909375,0.833167419,11.62796951,2.217488708,11.86680661
1.790939375,0.613574066,11.35957764,0.157023468,11.37721994
1.800968375,1.021176453,11.61120438,-0.6728508,11.67542704
